"X1.mean.Tube4" "X1.sd.Tube4" "X1.median.Tube4" "X1.skew.Tube4" "X1.kurtosis.Tube4" "X2.mean.Tube4" "X2.sd.Tube4" "X2.median.Tube4" "X2.skew.Tube4" "X2.kurtosis.Tube4" "X3.mean.Tube4" "X3.sd.Tube4" "X3.median.Tube4" "X3.skew.Tube4" "X3.kurtosis.Tube4" "X4.mean.Tube4" "X4.sd.Tube4" "X4.median.Tube4" "X4.skew.Tube4" "X4.kurtosis.Tube4" "X5.mean.Tube4" "X5.sd.Tube4" "X5.median.Tube4" "X5.skew.Tube4" "X5.kurtosis.Tube4" "X6.mean.Tube4" "X6.sd.Tube4" "X6.median.Tube4" "X6.skew.Tube4" "X6.kurtosis.Tube4" "X7.mean.Tube4" "X7.sd.Tube4" "X7.median.Tube4" "X7.skew.Tube4" "X7.kurtosis.Tube4" "Class"
"1" 0.701406060606061 0.225238647377367 0.728250244379277 -0.631244930396094 -0.311372511158631 0.0155992653002748 0.0130534268355232 0.0147565558273105 8.235262705312 194.589453332224 0.0163398076100766 0.0224093906401498 0.0109410858877628 5.64429956626405 66.9416989685017 0.0154863787083927 0.0287011720305931 0.00477015226688532 9.49178702343452 215.955205662348 0.0135154896429982 0.0186430721662314 0.00856049928352901 5.74253007562358 71.5527502019956 0.0582198047618438 0.109718400699367 0.00361838850276475 3.13483846209758 14.1972232452638 0.00288541565440933 0.0157411265200528 1.97104740969827e-05 6.956705333579 62.6377122714381 "aml"
"2" 0.591596187683284 0.150697016526222 0.571847507331378 0.565861342812886 0.586159013507622 0.00639633736455976 0.00430893488478736 0.00522850179604525 6.00439076694825 137.41968112618 0.00137937250590611 0.00719361072509674 0.000727955386166665 19.7459082971066 463.685433567478 0.0371356604674946 0.055271979622661 0.0197115389393973 4.17841361381787 26.0211447114964 0.00835046489148605 0.00981569252429772 0.00639445576133825 5.34666164998043 59.1067659357117 0.00099992530353453 0.00399701985410157 0.000462387563946744 18.9387310878644 492.682391410192 0.000135055618074247 0.000551352324598706 5.96398184106353e-05 25.5178422468289 1200.81655722104 "aml"
"4" 0.405969159986507 0.124935869468177 0.393939393939394 1.71761489632914 6.00803343327728 0.00345841723836153 0.007158148732533 0.00276466053754713 59.0569419306992 4668.37193495607 0.00215985635833403 0.0117291102800148 0.00011288645482512 12.2298165864868 208.952770818482 0.00663536570523324 0.0119496968092814 0.000713194327495786 4.6632240983218 54.9653634662352 0.0171930831328838 0.0163223034319453 0.0167502238167401 6.22673926056575 175.234270207505 0.00269971486041924 0.00883934330913999 0 4.02055922580181 18.6567568773484 0.000802449986144396 0.00221889568641544 0 4.38392293364185 33.4993003020128 "aml"
"5" 0.560782945481734 0.132007630850808 0.556207233626588 0.390953634758619 1.24940718984286 0.00411681017730242 0.00165268039661076 0.00393191255411585 5.3976361720626 71.6273321471549 0.000447548077975213 0.00452437800466321 0.000227834898629209 45.4352781846062 2945.50041126884 0.00100713542056785 0.00363001855773811 0.000750600875531549 94.8473605254334 9671.87366979835 0.00456018030897901 0.00855123522950063 0.0033602276836383 62.8551689857344 5515.99575629926 0.000564292726943275 0.00945832971540753 0 30.8158843200979 1145.96843508046 8.04224651376899e-05 0.000587399392163301 2.52174906556212e-05 37.9493263706606 2145.86183060013 "aml"
"6" 0.50733053405239 0.156548627537775 0.47702834799609 1.04484988396854 1.32909574726526 0.00489726608147682 0.00382987304536089 0.00368588383764239 6.14478969158905 80.998601798577 0.0056126513981633 0.0147393012422175 0.000236801708477737 3.85741164307211 18.5591357122428 0.0207413703823328 0.0273303989388244 0.0142315488572554 6.15074586875082 70.3877279050743 0.00712232898771251 0.0111050668834263 0.00332924421799694 3.2708305529436 13.6978506506752 0.00380303560660113 0.0196111148924992 9.03594843629098e-07 6.99571226233052 60.000606057955 0.00319725581438062 0.00323666777129702 0.00238069248356247 2.20088597141514 11.1176897477751 "aml"
"8" 0.422768589116976 0.154634876822923 0.376344086021505 2.0889774991106 4.51930800965762 0.00546289320697178 0.00982711946892182 0.00289643238424279 9.97083500614584 169.953037292863 0.0091840333928504 0.0381464992463623 0.000281999954923859 10.4467820042487 166.524773150873 0.0108596598813262 0.0218519810594778 0.00431137214972992 7.84917424588072 117.040430919624 0.0139246762398878 0.0210885464545825 0.00339149108628107 4.74714507196827 69.601961007469 0.00450730246342471 0.0174795258463663 0 7.30407957646584 89.9067989122212 0.000847871333326631 0.00240668687525532 0.000116750892046046 7.27496914214153 88.5148062733 "aml"
"9" 0.42500651678071 0.189568421056901 0.39980449657869 0.945543828977536 0.920252028987107 0.00873397225523344 0.0152544808992131 0.00398672002276207 17.6760752105284 782.30439862779 0.0123900495950864 0.0366467684658442 0.000118709336434591 5.29971683150133 43.9368919276091 0.00419288557074481 0.0119570961734405 0.00109719474997073 22.7075637731191 912.952146578999 0.0116387454338596 0.016288782902762 0.00479215333412305 6.70816887744827 162.45666423383 0.00449470881044122 0.0161818808005151 8.26999417882712e-05 5.94743984739759 48.497704847729 0.000957366991819808 0.0084175148762621 6.69835430188581e-05 79.2312820520453 7942.83172559164 "aml"
"11" 0.467333431085044 0.120144950273782 0.450635386119257 1.22992069574388 3.29672100694676 0.00414179797212728 0.00292735740310863 0.00375460432905601 25.7709968376554 1486.21093861135 0.000829066041377152 0.00589585658302558 0.000213417558897711 19.8132972726129 547.790727485737 0.020799466651005 0.0188498760720502 0.0167502238167401 6.02297823400824 150.580760881913 0.00826348100920429 0.00968548223342919 0.00599816216843144 6.13950059476506 58.0848880630258 0.00022555428913854 0.00185739615274354 6.25377375049369e-05 25.4100435987866 854.175915928888 0.000168610062927289 0.000892675353851074 5.39980524111903e-05 22.3889383156288 691.466401282353 "aml"
"12" 0.539747181492343 0.188905101286606 0.534701857282502 0.251250654035104 0.021868469235248 0.011340469010563 0.0115999737503841 0.00832993384366893 26.4224606837031 1886.66797957866 0.0174814098605305 0.0320386834059089 0.00651234149656447 5.20746313081397 51.0377668060124 0.0525140656253329 0.062317885948804 0.031242745988781 2.65059217124823 14.2436920384247 0.0181429257779349 0.0191888550969511 0.0118720375087082 3.03094943715776 25.1901054468182 0.0017556162343376 0.0108132289912499 0.000157147787115377 13.5444448666699 267.760059058888 0.000500966117249741 0.0018535121555939 0.000118709336434591 26.4949904916081 1764.05427320183 "aml"
"13" 0.715344868035191 0.218822997123554 0.731182795698925 -0.48238931695976 -0.509651746602076 0.012002030160615 0.0107165835356443 0.00887775910038318 5.07183996091306 97.50643945623 0.0192142965508518 0.0304814838942901 0.00726597672038432 3.24187672506279 17.3295713052211 0.0437619521234653 0.0739509867047688 0.0129987725202579 2.99703979981288 12.5102240833929 0.0159498551592705 0.021121026700529 0.00605325942743312 2.33924475063067 8.67471138461079 0.00432652745637735 0.0296183383309597 0.000337178199081017 11.6381884951713 167.982709656195 0.000168914667950385 0.000944852980863882 3.09778242124802e-05 15.7231654156466 334.901577297223 "aml"
